"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LIPK|LIPK",40.4078524522721,21.4931130221073,4.09967390018788,5.24263966973625,1.58295483288566e-07,0.00284741915339472
"gene-FER1L4|FER1L4",47.1431049658368,-20.7553996866889,4.40414806710787,-4.71269343592225,2.44463835071003e-06,0.0146580515508573
"gene-LOC106559843|LOC106559843",25.1347267941274,18.9749385585004,3.9933577857885,4.75162496734656,2.01788384249049e-06,0.0146580515508573
"gene-DHRS2|DHRS2",28.4819154517157,-22.1913915578239,4.90099996533803,-4.52793138436461,5.95639151165877e-06,0.0267858926279295
"gene-CEMIP|CEMIP",27.2359690163903,-19.627895134554,4.43202547709111,-4.42865124219377,9.48242129453933e-06,0.0284282990410289
"gene-CHTF8|CHTF8",285.461136606035,-11.0056214933429,2.47949024286772,-4.43866295703347,9.0519436568273e-06,0.0284282990410289
"gene-LOC102155529|LOC102155529",20.4810557543728,21.0035553158391,4.94051765008653,4.25128636378239,2.12546195078479e-05,0.0546182993867382
"gene-GH1|GH1",18.5482087896762,21.9984205616056,5.28028436502699,4.16614315458238,3.09796207078235e-05,0.0696576771615412
"gene-DNAH9|DNAH9",75.7399009292791,-17.5899381704948,4.56069473440758,-3.85685497382445,0.000114855259375259,0.172168033803513
"gene-LOC403585|LOC403585",162404.282798334,-10.1265777722419,2.61911428447375,-3.86641309708125,0.000110447794935064,0.172168033803513
"gene-PGB1|PGB1",12.755614841018,20.5402056797022,5.28416118499759,3.88712701232855,0.000101437683841643,0.172168033803513
"gene-AQP12B|AQP12B",17.3260851899413,-17.1538728907318,4.44550368796632,-3.85870175682594,0.000113990942524102,0.172168033803513
"gene-LOC751814|LOC751814",266184.289409809,-9.95678013297962,2.64662155294062,-3.76207173326945,0.000168511698090967,0.216513458947166
"gene-ZG16B|ZG16B",14.8867321968803,21.3221092878542,5.65043764421471,3.7735323580971,0.000160952332655649,0.216513458947166
"gene-SLC6A4|SLC6A4",23.0780900159839,-18.3237229087095,4.97535710850021,-3.68289602316267,0.000230599233261214,0.276534600526848
"gene-LOC111091188|LOC111091188",10.7023534172166,20.6388920202623,5.65107450101473,3.65220667619164,0.000259996497227075,0.292301062007539
"gene-NYAP2|NYAP2",13.3282268817415,-17.9069120879183,5.02643858466285,-3.56254468970487,0.000367277361094222,0.388622657138992
"gene-LOC100686712|LOC100686712",33.9225222588922,-17.4772930649239,4.97286077934627,-3.51453496094485,0.000440524681338604,0.419550998710897
"gene-OLR1|OLR1",85.2819039833183,-9.92583302481229,2.84711950509135,-3.48627200476217,0.000489802700296244,0.419550998710897
"gene-LOC102156767|LOC102156767",28.9762097860757,-17.3550390433424,4.97639502685483,-3.48747214593835,0.000487609711506123,0.419550998710897
"gene-GPR82|GPR82",47.7175640438869,-10.1661502283994,2.90121303973938,-3.50410331442349,0.000458147576995139,0.419550998710897
"gene-LOC111095048|LOC111095048",16.6917472003138,-17.3447361807622,5.03274890448613,-3.44637423999066,0.00056816294192995,0.464550681792543
"gene-ABCC8|ABCC8",35.2740928104046,-17.0703587743441,5.01324223599875,-3.4050536500643,0.000661510562903382,0.475970080220242
"gene-LOC609523|LOC609523",52.6768883520084,-8.74429745730503,2.5664735341449,-3.40712551326521,0.000656509297291254,0.475970080220242
"gene-SSTR5|SSTR5",38.6875758161357,17.1693740490269,5.03474212602734,3.41017943307742,0.000649201527323642,0.475970080220242
"gene-REG3A|REG3A",9771.3459848104,-11.9254438235493,3.52629580787442,-3.38186144137967,0.000719964492250763,0.498104664869489
"gene-LOC100687463|LOC100687463",7011.59576282243,-11.6618852804494,3.47100918483323,-3.35979672177379,0.000779998410504965,0.501093264577261
"gene-RASGRF1|RASGRF1",42.3973440646644,17.001495208311,5.04779708468402,3.36810195082857,0.000756876022417004,0.501093264577261
"gene-STUM|STUM",39.9225762939275,-8.58498787395369,2.58192950507262,-3.32502799053463,0.00088409658718578,0.530104313676593
"gene-LOC111090873|LOC111090873",17.6689097437366,16.7272582150376,5.01876459110472,3.33294337907083,0.000859324284991179,0.530104313676593
"gene-LOC102155343|LOC102155343",142.734156621872,16.763952487637,5.08081734640688,3.29945978071665,0.00096871107451887,0.55177580512512
"gene-CDC45|CDC45",32.9266287931192,-8.58501988149569,2.61173398579428,-3.28709582529892,0.00101226381860846,0.55177580512512
"gene-LOC102154401|LOC102154401",27.0479093027745,-16.5175509589001,5.0127888330904,-3.29508214067677,0.00098392914684433,0.55177580512512
"gene-C20H3orf20|C20H3orf20",15.1196034387788,-16.4212615631879,5.05284350827951,-3.24990503590311,0.00115443551768921,0.610764296829223
"gene-DEPDC1|DEPDC1",80.2508188626092,-8.32088864818859,2.57517598410915,-3.2311922367772,0.00123275000022447,0.63356305725822
"gene-LOC608929|LOC608929",115.144252913357,5.20672656787592,1.64803161369161,3.15936085486419,0.00158115582581774,0.748469236705512
"gene-RUNX1|RUNX1",28.3734821029247,-8.20142391109573,2.58521676077569,-3.17243181907691,0.00151168050131493,0.748469236705512
"gene-LOC119871500|LOC119871500",16.1882041997236,15.5886419851338,4.93292905038688,3.16011883120662,0.00157704804432812,0.748469236705512
"gene-LOC100688350|LOC100688350",41.8115398140504,5.90774514121318,1.90056043431297,3.10842267078382,0.00188088860266351,0.867523697043876
"gene-PI3|PI3",5228.01976830229,-10.1060300210062,3.27776502798504,-3.08320759258902,0.00204782248278819,0.92090577050985
"gene-ANGPTL7|ANGPTL7",28.5036818005985,9.92002059427149,3.25435273341061,3.0482315246372,0.00230192500214186,0.941104283738935
"gene-LOC119872929|LOC119872929",38.0554031718061,-10.2085908344734,3.34903326803466,-3.04822019294666,0.00230201181257022,0.941104283738935
"gene-LOC119873213|LOC119873213",50.8165471761134,-11.0385481241382,3.61325340325305,-3.05501632246441,0.00225048273870847,0.941104283738935
"gene-OTOR|OTOR",11.4500975345861,14.9919723414424,4.90121151704926,3.05882990140124,0.0022220327538421,0.941104283738935
"gene-LOC100684726|LOC100684726",94.4044139328452,-1.47749326778952,2.48986494092859,-0.593402976805037,0.552911497179664,0.99998592997979
"gene-LOC119870367|LOC119870367",7.871185086885,-0.86434353328063,3.6499872080717,-0.236807277397902,0.81280630557409,0.99998592997979
"gene-PARD6G|PARD6G",451.234124945635,-0.992633632082266,1.80309437989436,-0.550516735646652,0.581965001322586,0.99998592997979
"gene-ADNP2|ADNP2",665.001154055942,0.80154029404911,1.56750202072868,0.511348810687019,0.609106832162197,0.99998592997979
"gene-ENPP1|ENPP1",2671.39420381029,0.867048442768467,1.5649034127584,0.554058758962096,0.57953863322794,0.99998592997979
"gene-HSBP1L1|HSBP1L1",2.76878248351266,0.265228107225989,4.09659352173558,0.0647435743426214,0.948378168271304,0.99998592997979
"gene-LOC102154355|LOC102154355",53.4114508288485,0.486813439642415,1.63374365481169,0.297974188428311,0.765722863914221,0.99998592997979
"gene-RBFA|RBFA",4298.87102186815,-0.0410192073260718,1.57960089605946,-0.0259680830951667,0.979282795862084,0.99998592997979
"gene-TXNL4A|TXNL4A",827.501749461927,-0.510878885907257,1.54948940327841,-0.32970789269442,0.741620689429269,0.99998592997979
"gene-CTDP1|CTDP1",1014.64054185817,0.51568122086997,1.63480050277148,0.315439847244807,0.752427716202805,0.99998592997979
"gene-LOC119870433|LOC119870433",4.24071852912082,3.21155585802976,3.85845008030581,0.832343503528034,0.405215081625259,0.99998592997979
"gene-SLC66A2|SLC66A2",3725.0385646586,0.896048930323286,1.57794662622069,0.567857565923756,0.570131687566198,0.99998592997979
"gene-LOC111091658|LOC111091658",10.4518559166565,-0.357277203677933,1.86931359153075,-0.191127484065081,0.848425715366213,0.99998592997979
"gene-LOC106559849|LOC106559849",71.2845189510438,2.295515239619,1.9813122634733,1.15858326924949,0.246626091829051,0.99998592997979
"gene-KCNG2|KCNG2",20.288045353326,-0.284643263524234,1.80687688822058,-0.15753329149312,0.87482457262085,0.99998592997979
"gene-NFATC1|NFATC1",587.439407477101,0.497380991722275,1.74409020345177,0.28518077261021,0.775505650234673,0.99998592997979
"gene-GALR1|GALR1",91.2723902687055,0.156064396841966,2.11970068401401,0.0736256765018503,0.941308239688811,0.99998592997979
"gene-ATP9B|ATP9B",513.792478994487,0.622526153151771,1.52742195517365,0.407566586982177,0.683591899099843,0.99998592997979
"gene-LOC119870458|LOC119870458",15.1558868283973,-0.824005904532045,2.56860649863449,-0.320798808603069,0.748362862315337,0.99998592997979
"gene-LOC102156552|LOC102156552",22.0893471286475,0.329229646412408,2.98039585467544,0.110465073253922,0.91204054781893,0.99998592997979
"gene-MBP|MBP",524.90171189241,-0.100802326944933,1.58126639038562,-0.0637478463830186,0.949171006290857,0.99998592997979
"gene-ZNF236|ZNF236",425.281570550569,0.412951361877618,1.59975035224595,0.258134877918833,0.796302814788865,0.99998592997979
"gene-LOC111092528|LOC111092528",4.327541010454,1.86270744612868,5.53960259201384,0.336252901754009,0.736680163092302,0.99998592997979
"gene-ZNF516|ZNF516",634.150872618157,0.14211429805143,1.64465139535598,0.086409982354145,0.93114051184192,0.99998592997979
"gene-TSHZ1|TSHZ1",729.325350300697,0.469994165447212,1.55645369203677,0.30196475992304,0.762678927188517,0.99998592997979
"gene-LOC111092553|LOC111092553",14.560784654185,-0.232961267640819,1.96957590295766,-0.118279913605253,0.905845872289332,0.99998592997979
"gene-ZADH2|ZADH2",1805.98972592878,0.53487070652203,1.58505656243789,0.337445816885787,0.735780850998878,0.99998592997979
"gene-ZNF407|ZNF407",498.732454738082,0.450712692756498,1.73236518528487,0.260171871719059,0.794731200431928,0.99998592997979
"gene-DIPK1C|DIPK1C",3.75316530308443,-1.89891056258614,3.08569757932025,-0.615391014113721,0.538296524281938,0.99998592997979
"gene-C1H18orf63|C1H18orf63",10.8989462178548,3.68790327113564,3.07953280289035,1.19755284557264,0.231091142863004,0.99998592997979
"gene-CNDP2|CNDP2",7057.21871983869,0.111968343862882,1.65351753348794,0.0677152443776605,0.946012313907672,0.99998592997979
"gene-FBXO15|FBXO15",16.0127755989032,0.883061295167188,2.49496138189656,0.353937861152754,0.72338545213867,0.99998592997979
"gene-TIMM21|TIMM21",1291.52063594726,0.255782756959906,1.54433912309869,0.165626029370209,0.868451261730468,0.99998592997979
"gene-LOC608797|LOC608797",369.095279672808,-1.2359394698663,1.57495278830022,-0.784746996257706,0.432601922359707,0.99998592997979
"gene-LOC100685678|LOC100685678",4.31098662913687,-3.79889812956365,2.58966211053188,-1.46694741144566,0.142390361664941,0.99998592997979
"gene-LOC102152782|LOC102152782",18.6741564120256,0.0100851241724613,2.11207593686625,0.00477498180648984,0.996190130216284,0.99998592997979
"gene-SOCS6|SOCS6",2177.87941254075,0.869356684126975,1.61307472542397,0.538943838388193,0.58992560711158,0.99998592997979
"gene-LOC119870699|LOC119870699",12.5690344026544,3.13434363564303,2.49987519500351,1.25380004646137,0.209914692324162,0.99998592997979
"gene-CD226|CD226",90.2135634761748,-1.57038475756427,1.60348133933967,-0.979359546654266,0.327402357794216,0.99998592997979
"gene-LOC119870698|LOC119870698",3.90487845831391,7.1812912959492,3.93018005280084,1.82721687033943,0.0676671683057749,0.99998592997979
"gene-LOC119863882|LOC119863882",48955.9994049169,0.413713389418186,1.75474614655337,0.235768227917634,0.813612523646159,0.99998592997979
"gene-RTTN|RTTN",130.864182297219,-0.244134427505742,1.59611463166925,-0.152955447348053,0.878433409638663,0.99998592997979
"gene-CCDC102B|CCDC102B",116.684500656448,1.07580361069648,1.65399581946727,0.650427043426856,0.515416413454549,0.99998592997979
"gene-DSEL|DSEL",156.468224386858,-0.061372297761786,1.83799534118543,-0.0333908886418632,0.97336287542321,0.99998592997979
"gene-DOK6|DOK6",44.7239737685375,3.14997267167907,2.69598440666539,1.16839424734478,0.242647774321612,0.99998592997979
"gene-TMX3|TMX3",1018.40363495318,0.0739033610447865,1.59517121089925,0.0463294225346035,0.963047688689656,0.99998592997979
"gene-LOC106557620|LOC106557620",3.13320861671377,6.80848433361613,4.39903922719303,1.54772075946241,0.121689541757535,0.99998592997979
"gene-LOC119871240|LOC119871240",13.6329117881308,-0.550131179665864,1.81682387595573,-0.302798299244318,0.762043579618496,0.99998592997979
"gene-SERPINB8|SERPINB8",49.2844667950876,-1.72119199840559,2.56991665516862,-0.669746232798612,0.50301957400528,0.99998592997979
"gene-SERPINB10|SERPINB10",45.2600884685448,-1.61861572854982,2.11746045886788,-0.764413673828517,0.444620762708643,0.99998592997979
"gene-LOC119871403|LOC119871403",1599.25877701788,0.278658774909509,2.00393048083465,0.139056108769524,0.889405811302043,0.99998592997979
"gene-SERPINB5|SERPINB5",1312.2431158222,-0.242533256315383,1.8665379767024,-0.129937488196123,0.896615884408294,0.99998592997979
"gene-VPS4B|VPS4B",1551.93437008674,-0.0229355763978385,1.56007036425144,-0.0147016294414666,0.988270219393238,0.99998592997979
"gene-LOC119870707|LOC119870707",3.61067181486232,-4.7492225239746,4.88607077975177,-0.971992166723356,0.331054445536912,0.99998592997979
"gene-LOC111094334|LOC111094334",8.18388619498612,-0.994365076957686,3.39231097870519,-0.293123208101995,0.769427977996229,0.99998592997979
"gene-BCL2|BCL2",126.048682656933,-0.0391576699711027,1.79349760698431,-0.0218331319866909,0.982581064977575,0.99998592997979
"gene-KDSR|KDSR",4780.65053206524,1.34568150053636,1.56573126388115,0.859458791926191,0.390087445569165,0.99998592997979
"gene-LOC111094618|LOC111094618",8.75816653551935,0.475499298843531,2.60932700413618,0.182230628085247,0.855401737663275,0.99998592997979
"gene-PHLPP1|PHLPP1",1181.67023591345,1.51114311672565,1.5508298795379,0.974409338293071,0.329853334652089,0.99998592997979
"gene-TNFRSF11A|TNFRSF11A",82.9700894376374,0.497533221264103,1.79612976460864,0.277002937687251,0.781777850431712,0.99998592997979
"gene-LOC111094566|LOC111094566",2.07625664157121,-3.90110171454953,4.99737898851082,-0.780629550714148,0.435020406279316,0.99998592997979
"gene-ZCCHC2|ZCCHC2",1437.59456071187,0.386501036516488,1.58790664550352,0.243402871076172,0.807693319883275,0.99998592997979
"gene-LOC609896|LOC609896",36.4243118668526,-1.80104374921411,2.32402749006234,-0.77496662880085,0.438359378974586,0.99998592997979
"gene-RELCH|RELCH",979.181103456852,0.491033218802749,1.52831090183953,0.321291445485159,0.74798953856496,0.99998592997979
"gene-PPIAP1|PPIAP1",37.0166432869707,-0.0602460277971728,2.35133593860634,-0.0256220418392793,0.979558804994701,0.99998592997979
"gene-RNF152|RNF152",1446.09723425002,0.597870036100292,1.79282529602688,0.333479250557901,0.738772549615902,0.99998592997979
"gene-PIGN|PIGN",945.452109956739,0.405702882460891,1.5285630095786,0.26541456251302,0.790690119067769,0.99998592997979
"gene-LOC102153530|LOC102153530",13.1753064774379,0.708626629520509,1.99452004077104,0.355286793331276,0.722374748328075,0.99998592997979
"gene-PMAIP1|PMAIP1",15.3448533448844,-2.16068350254732,2.41838116679,-0.89344208109893,0.371620475846966,0.99998592997979
"gene-LOC111094796|LOC111094796",1.70360071218749,-2.32559137422119,5.33017918954116,-0.436306415135996,0.662614428048099,0.99998592997979
"gene-MC4R|MC4R",7.64522703335974,1.75886946581781,2.69597972668715,0.652404559428617,0.514140223816649,0.99998592997979
"gene-CCBE1|CCBE1",126.741127651712,-0.500864253764636,1.5953832456306,-0.313946040950594,0.753562021240198,0.99998592997979
"gene-LMAN1|LMAN1",13831.2579358041,0.851884848621276,1.61746814337827,0.526677976384756,0.598417232110111,0.99998592997979
"gene-LOC119870637|LOC119870637",1213.70086237639,-0.301334318065197,2.09448103840458,-0.143870635513001,0.885602623879692,0.99998592997979
"gene-LOC119870718|LOC119870718",3.29102728582196,1.03055264244682,4.13162531921086,0.249430324103943,0.803027930995055,0.99998592997979
"gene-ZNF532|ZNF532",299.731917152275,1.24339971789819,1.96226955405257,0.633653880696595,0.526306729217535,0.99998592997979
"gene-SEC11C|SEC11C",3275.07813507079,0.498786253893617,1.5728226493628,0.317128097116157,0.7511464059643,0.99998592997979
"gene-MALT1|MALT1",392.191531562194,-0.319219797287575,1.62340614643014,-0.196635819070624,0.844112538243997,0.99998592997979
"gene-MIR122|MIR122",14.6155064037673,1.24375607365803,1.8411096186701,0.675546996792316,0.4993283032481,0.99998592997979
"gene-NEDD4L|NEDD4L",1660.39269009744,0.60069321697985,1.55785136635751,0.385590840019841,0.699799718201745,0.99998592997979
"gene-LOC111095132|LOC111095132",4.91973813686915,7.57992128904793,4.4472857632447,1.70439267737041,0.0883077510357374,0.99998592997979
"gene-ATP8B1|ATP8B1",3301.21387743706,0.0544013906312769,1.59500940273979,0.0341072538743847,0.972791624096724,0.99998592997979
"gene-NARS1|NARS1",4032.36687105302,-0.127542311521509,1.61481107125525,-0.0789828072099885,0.937046298195875,0.99998592997979
"gene-FECH|FECH",645.420545075658,-0.303978469777104,1.53771295529427,-0.197682193370695,0.843293722414045,0.99998592997979
"gene-ONECUT2|ONECUT2",4668.91220655019,1.65774485069627,1.55657881073397,1.06499255885065,0.286879297101296,0.99998592997979
"gene-LOC119870722|LOC119870722",168.411941391484,1.54723615985338,1.59713307619571,0.968758447817523,0.332665723036559,0.99998592997979
"gene-ST8SIA3|ST8SIA3",15.8894954992778,0.285978026621133,2.49033223665666,0.114835290814476,0.908575676055636,0.99998592997979
"gene-WDR7|WDR7",866.516230375869,0.243792760951287,1.61836722670073,0.150641187567975,0.880258769134633,0.99998592997979
"gene-LOC102153337|LOC102153337",76.7159718114029,0.613203333297391,2.5951364274895,0.236289440047125,0.813208080590835,0.99998592997979
"gene-TXNL1|TXNL1",5387.88926962003,0.220007034720553,1.57363791170387,0.139807914568059,0.888811759796488,0.99998592997979
