"gene_id","gene_name"
"gene-LOC100684726|LOC100684726","LOC100684726"
"gene-LOC119870367|LOC119870367","LOC119870367"
"gene-LOC119870369|LOC119870369","LOC119870369"
"gene-ENPP1|ENPP1","ENPP1"
"gene-LOC102151484|LOC102151484","LOC102151484"
"gene-LOC100685702|LOC100685702","LOC100685702"
"gene-LOC100685782|LOC100685782","LOC100685782"
"gene-LOC119870691|LOC119870691","LOC119870691"
"gene-PARD6G|PARD6G","PARD6G"
"gene-ADNP2|ADNP2","ADNP2"
"gene-LOC100685536|LOC100685536","LOC100685536"
"gene-LOC119870385|LOC119870385","LOC119870385"
"gene-RBFA|RBFA","RBFA"
"gene-LOC102154355|LOC102154355","LOC102154355"
"gene-TXNL4A|TXNL4A","TXNL4A"
"gene-TRNAQ-UUG|TRNAQ-UUG","TRNAQ-UUG"
"gene-HSBP1L1|HSBP1L1","HSBP1L1"
"gene-LOC111091658|LOC111091658","LOC111091658"
"gene-LOC111091673|LOC111091673","LOC111091673"
"gene-SLC66A2|SLC66A2","SLC66A2"
"gene-LOC106559849|LOC106559849","LOC106559849"
"gene-KCNG2|KCNG2","KCNG2"
"gene-CTDP1|CTDP1","CTDP1"
"gene-LOC119870433|LOC119870433","LOC119870433"
"gene-LOC111091841|LOC111091841","LOC111091841"
"gene-LOC119870619|LOC119870619","LOC119870619"
"gene-LOC111090558|LOC111090558","LOC111090558"
"gene-NFATC1|NFATC1","NFATC1"
"gene-LOC111091898|LOC111091898","LOC111091898"
"gene-LOC119870458|LOC119870458","LOC119870458"
"gene-ATP9B|ATP9B","ATP9B"
"gene-LOC119870460|LOC119870460","LOC119870460"
"gene-SALL3|SALL3","SALL3"
"gene-LOC111092007|LOC111092007","LOC111092007"
"gene-LOC111092029|LOC111092029","LOC111092029"
"gene-LOC119870620|LOC119870620","LOC119870620"
"gene-LOC102155992|LOC102155992","LOC102155992"
"gene-LOC111090560|LOC111090560","LOC111090560"
"gene-LOC119875935|LOC119875935","LOC119875935"
"gene-LOC111092037|LOC111092037","LOC111092037"
"gene-LOC119870622|LOC119870622","LOC119870622"
"gene-LOC119870623|LOC119870623","LOC119870623"
"gene-LOC111092046|LOC111092046","LOC111092046"
"gene-LOC119870694|LOC119870694","LOC119870694"
"gene-LOC111092121|LOC111092121","LOC111092121"
"gene-LOC111090561|LOC111090561","LOC111090561"
"gene-LOC111090563|LOC111090563","LOC111090563"
"gene-LOC111092137|LOC111092137","LOC111092137"
"gene-LOC111099015|LOC111099015","LOC111099015"
"gene-LOC119869905|LOC119869905","LOC119869905"
"gene-GALR1|GALR1","GALR1"
"gene-MBP|MBP","MBP"
"gene-ZNF236|ZNF236","ZNF236"
"gene-LOC102156552|LOC102156552","LOC102156552"
"gene-LOC119869861|LOC119869861","LOC119869861"
"gene-LOC119870510|LOC119870510","LOC119870510"
"gene-LOC119870626|LOC119870626","LOC119870626"
"gene-LOC111092394|LOC111092394","LOC111092394"
"gene-LOC111090565|LOC111090565","LOC111090565"
"gene-ZNF516|ZNF516","ZNF516"
"gene-LOC111092528|LOC111092528","LOC111092528"
"gene-LOC102157008|LOC102157008","LOC102157008"
"gene-LOC111092546|LOC111092546","LOC111092546"
"gene-LOC119870615|LOC119870615","LOC119870615"
"gene-LOC119870638|LOC119870638","LOC119870638"
"gene-TSHZ1|TSHZ1","TSHZ1"
"gene-LOC111092553|LOC111092553","LOC111092553"
"gene-ZADH2|ZADH2","ZADH2"
"gene-ZNF407|ZNF407","ZNF407"
"gene-LOC119869871|LOC119869871","LOC119869871"
"gene-CNDP1|CNDP1","CNDP1"
"gene-CNDP2|CNDP2","CNDP2"
"gene-LOC106560088|LOC106560088","LOC106560088"
"gene-LOC111092777|LOC111092777","LOC111092777"
"gene-DIPK1C|DIPK1C","DIPK1C"
"gene-C1H18orf63|C1H18orf63","C1H18orf63"
"gene-LOC119863882|LOC119863882","LOC119863882"
"gene-LOC119870698|LOC119870698","LOC119870698"
"gene-LOC119870965|LOC119870965","LOC119870965"
"gene-LOC100687228|LOC100687228","LOC100687228"
"gene-TIMM21|TIMM21","TIMM21"
"gene-FBXO15|FBXO15","FBXO15"
"gene-LOC111092948|LOC111092948","LOC111092948"
"gene-LOC608797|LOC608797","LOC608797"
"gene-LOC111092970|LOC111092970","LOC111092970"
"gene-LOC111090571|LOC111090571","LOC111090571"
"gene-LOC111090572|LOC111090572","LOC111090572"
"gene-TRNAA-UGC|TRNAA-UGC","TRNAA-UGC"
"gene-LOC100685303|LOC100685303","LOC100685303"
"gene-NETO1|NETO1","NETO1"
"gene-LOC111093124|LOC111093124","LOC111093124"
"gene-CBLN2|CBLN2","CBLN2"
"gene-LOC100856140|LOC100856140","LOC100856140"
"gene-LOC100685678|LOC100685678","LOC100685678"
"gene-LOC100685755|LOC100685755","LOC100685755"
"gene-LOC111090553|LOC111090553","LOC111090553"
"gene-LOC111090576|LOC111090576","LOC111090576"
"gene-LOC111090579|LOC111090579","LOC111090579"
"gene-LOC100685067|LOC100685067","LOC100685067"
"gene-LOC111090580|LOC111090580","LOC111090580"
"gene-LOC102152669|LOC102152669","LOC102152669"
"gene-LOC111093237|LOC111093237","LOC111093237"
"gene-LOC106559414|LOC106559414","LOC106559414"
"gene-LOC102152482|LOC102152482","LOC102152482"
"gene-LOC111093261|LOC111093261","LOC111093261"
"gene-LOC102152782|LOC102152782","LOC102152782"
"gene-SOCS6|SOCS6","SOCS6"
"gene-LOC119870699|LOC119870699","LOC119870699"
"gene-LOC100856283|LOC100856283","LOC100856283"
"gene-LOC100683962|LOC100683962","LOC100683962"
"gene-RTTN|RTTN","RTTN"
"gene-CD226|CD226","CD226"
"gene-LOC119870700|LOC119870700","LOC119870700"
"gene-DOK6|DOK6","DOK6"
"gene-LOC119870703|LOC119870703","LOC119870703"
"gene-LOC119870701|LOC119870701","LOC119870701"
"gene-LOC119870702|LOC119870702","LOC119870702"
"gene-CCDC102B|CCDC102B","CCDC102B"
"gene-LOC102156226|LOC102156226","LOC102156226"
"gene-LOC100686410|LOC100686410","LOC100686410"
"gene-LOC119871240|LOC119871240","LOC119871240"
"gene-TMX3|TMX3","TMX3"
"gene-LOC106557620|LOC106557620","LOC106557620"
"gene-LOC111090592|LOC111090592","LOC111090592"
"gene-LOC483943|LOC483943","LOC483943"
"gene-DSEL|DSEL","DSEL"
"gene-LOC100686719|LOC100686719","LOC100686719"
"gene-LOC111090594|LOC111090594","LOC111090594"
"gene-LOC483946|LOC483946","LOC483946"
"gene-LOC483947|LOC483947","LOC483947"
"gene-LOC119870629|LOC119870629","LOC119870629"
"gene-LOC119870085|LOC119870085","LOC119870085"
"gene-LOC100686966|LOC100686966","LOC100686966"
"gene-CDH19|CDH19","CDH19"
"gene-LOC102154255|LOC102154255","LOC102154255"
"gene-LOC119869888|LOC119869888","LOC119869888"
"gene-LOC111090601|LOC111090601","LOC111090601"
"gene-LOC100684751|LOC100684751","LOC100684751"
"gene-LOC119871403|LOC119871403","LOC119871403"
"gene-CDH7|CDH7","CDH7"
"gene-LOC119870704|LOC119870704","LOC119870704"
"gene-LOC111093764|LOC111093764","LOC111093764"
"gene-LOC607190|LOC607190","LOC607190"
