gene_id,DRR546743,DRR546744,DRR546790,SRR2960319,SRR5889337,SRR8996966,SRR8996977,SRR8997009
gene-LOC100684726|LOC100684726,49,29,87,78,0,201,809,91
gene-LOC119870369|LOC119870369,0,0,0,0,0,0,0,0
gene-LOC119870367|LOC119870367,2,0,23,6,0,28,40,0
gene-LOC119870691|LOC119870691,0,0,3,4,0,0,0,0
gene-PARD6G|PARD6G,79,48,385,1089,506,629,3119,198
gene-ADNP2|ADNP2,281,357,463,810,646,900,1819,992
gene-ENPP1|ENPP1,2055,1333,1875,3638,2719,4435,6005,2221
gene-HSBP1L1|HSBP1L1,0,0,0,4,5,0,15,7
gene-LOC102154355|LOC102154355,33,18,36,59,60,108,177,48
gene-RBFA|RBFA,1853,3932,2521,7147,3464,7148,15536,2821
gene-TXNL4A|TXNL4A,315,630,542,1043,666,1285,4295,664
gene-CTDP1|CTDP1,331,877,405,2270,854,1969,2760,738
gene-LOC119870433|LOC119870433,0,0,0,14,0,28,3,4
gene-LOC111091673|LOC111091673,0,0,5,0,0,0,4,0
gene-SLC66A2|SLC66A2,1943,1448,2643,8407,3021,9128,8172,2324
gene-LOC111091658|LOC111091658,7,6,9,21,4,14,39,9
gene-LOC106559849|LOC106559849,37,2,38,82,113,155,91,102
gene-KCNG2|KCNG2,6,6,12,69,6,42,82,17
gene-NFATC1|NFATC1,280,1026,274,843,332,867,1153,297
gene-LOC119870694|LOC119870694,0,0,0,0,0,0,0,0
gene-LOC111092121|LOC111092121,0,0,0,0,0,0,0,0
gene-GALR1|GALR1,33,16,128,194,23,25,299,188
gene-ATP9B|ATP9B,265,317,414,1002,354,898,1245,453
gene-LOC119870458|LOC119870458,8,1,17,54,0,34,63,6
gene-LOC102156552|LOC102156552,0,0,50,13,26,23,84,32
gene-LOC119869861|LOC119869861,0,0,3,2,1,0,2,0
gene-MBP|MBP,286,155,362,1070,493,866,2137,375
gene-ZNF236|ZNF236,135,139,442,956,400,609,1263,397
gene-LOC111092528|LOC111092528,7,14,0,0,0,0,0,0
gene-LOC119870638|LOC119870638,0,0,0,0,0,9,7,0
gene-ZNF516|ZNF516,904,340,596,656,348,699,1452,351
gene-TSHZ1|TSHZ1,416,401,620,1490,650,745,1868,675
gene-LOC111092553|LOC111092553,9,5,4,35,22,12,63,7
gene-ZADH2|ZADH2,1026,1233,843,2208,2118,3312,5463,1388
gene-CNDP1|CNDP1,0,0,806,53,96,36,19,23
gene-ZNF407|ZNF407,151,792,497,779,238,373,962,443
gene-LOC119869871|LOC119869871,0,0,0,0,0,0,0,0
gene-DIPK1C|DIPK1C,5,0,5,3,3,3,26,0
gene-C1H18orf63|C1H18orf63,6,0,5,6,27,0,6,24
gene-CNDP2|CNDP2,3654,2448,3155,16989,6884,16415,25571,2847
gene-FBXO15|FBXO15,0,14,14,0,16,24,50,33
gene-TIMM21|TIMM21,606,869,985,1780,1278,1605,4307,1291
gene-LOC111092948|LOC111092948,0,0,0,0,0,0,0,0
gene-LOC608797|LOC608797,157,387,472,416,164,390,1954,184
gene-LOC100685678|LOC100685678,4,3,4,1,0,1,51,2
gene-LOC100685067|LOC100685067,3,6,0,3,0,1,2,0
gene-NETO1|NETO1,0,0,0,0,0,6,0,0
gene-LOC102152782|LOC102152782,11,3,37,14,26,6,65,14
gene-SOCS6|SOCS6,1319,1210,1811,1504,1912,2395,5561,3600
gene-LOC119870699|LOC119870699,0,3,11,0,28,19,11,26
gene-LOC100856283|LOC100856283,0,0,0,1,0,0,1,0
gene-CD226|CD226,24,18,42,112,85,106,935,68
gene-LOC119870698|LOC119870698,0,0,6,3,11,3,0,5
gene-LOC119870965|LOC119870965,0,2,2,10,0,0,0,3
gene-LOC119863882|LOC119863882,35732,6336,29698,42451,63875,88592,181820,50130
gene-RTTN|RTTN,55,108,199,134,94,156,467,86
gene-CCDC102B|CCDC102B,12,9,18,56,107,335,412,299
gene-LOC102156226|LOC102156226,0,5,0,0,0,2,3,5
gene-LOC100686410|LOC100686410,3,2,2,4,0,3,5,0
gene-DSEL|DSEL,44,44,226,121,264,111,708,123
gene-LOC119870700|LOC119870700,0,0,0,8,0,0,0,0
gene-DOK6|DOK6,6,0,0,45,18,107,41,171
gene-LOC119870703|LOC119870703,0,0,8,0,0,0,0,0
gene-LOC119870701|LOC119870701,0,0,0,0,0,0,0,0
gene-LOC119870702|LOC119870702,0,0,0,0,0,0,0,0
gene-TMX3|TMX3,699,515,1271,638,897,1005,3618,1104
gene-LOC106557620|LOC106557620,0,0,7,0,7,5,0,4
gene-LOC119871240|LOC119871240,5,11,14,20,9,12,62,13
gene-SERPINB8|SERPINB8,4,59,183,10,22,17,156,0
gene-SERPINB10|SERPINB10,15,14,109,46,8,9,286,50
gene-LOC119871403|LOC119871403,541,3436,268,7070,143,339,811,337
gene-SERPINB5|SERPINB5,1675,373,2123,2079,146,1548,3002,751
gene-LOC119870705|LOC119870705,0,0,0,0,0,0,0,0
gene-VPS4B|VPS4B,840,847,1427,1038,1579,1787,6569,1773
gene-LOC119870707|LOC119870707,11,0,0,5,0,0,18,0
gene-LOC111094459|LOC111094459,0,7,2,2,0,1,7,0
gene-LOC119870706|LOC119870706,0,0,1,4,0,0,0,0
gene-LOC111094480|LOC111094480,1,1,4,4,1,0,8,1
gene-LOC111094334|LOC111094334,0,0,0,31,10,20,62,0
gene-BCL2|BCL2,53,146,131,147,49,67,396,174
gene-KDSR|KDSR,3230,1993,3171,7597,4409,7982,8421,5648
gene-LOC111094618|LOC111094618,18,0,4,7,5,7,19,9
gene-LOC119870709|LOC119870709,0,0,3,0,0,0,0,3
gene-LOC102155763|LOC102155763,0,2,1,2,0,0,2,0
gene-PHLPP1|PHLPP1,798,929,1019,1905,729,1659,1517,1287
gene-LOC119870708|LOC119870708,3,0,0,0,3,0,0,4
gene-TNFRSF11A|TNFRSF11A,61,130,34,99,74,55,165,51
gene-LOC111094566|LOC111094566,0,0,2,16,0,0,10,0
gene-ZCCHC2|ZCCHC2,757,1107,1124,3095,895,1267,3579,1557
gene-LOC609896|LOC609896,52,32,18,77,0,29,136,11
gene-RELCH|RELCH,491,691,874,974,793,1590,2883,1072
gene-LOC119869845|LOC119869845,0,0,0,0,0,1,0,0
gene-PPIAP1|PPIAP1,40,81,32,43,3,28,28,0
gene-RNF152|RNF152,512,1284,1312,1022,752,998,4179,2960
gene-LOC111094787|LOC111094787,0,0,0,3,0,0,0,0
gene-PIGN|PIGN,626,813,859,1066,745,1491,2474,651
gene-LOC102153530|LOC102153530,14,31,14,6,2,5,7,3
gene-LOC100688291|LOC100688291,5,3,2,0,0,0,0,0
gene-PMAIP1|PMAIP1,6,2,9,33,0,14,161,17
gene-CDH20|CDH20,0,0,3,5,0,0,0,0
gene-LOC111094796|LOC111094796,0,0,3,0,3,0,23,0
gene-MC4R|MC4R,3,17,9,9,7,0,4,2
gene-LOC119870717|LOC119870717,0,0,0,4,9,0,5,0
gene-LOC119872244|LOC119872244,0,0,0,3,0,0,0,0
gene-CCBE1|CCBE1,31,26,74,250,130,230,754,103
gene-LMAN1|LMAN1,10299,9138,6236,10945,16523,19525,35177,15306
gene-LOC119870637|LOC119870637,63,438,830,1669,105,4092,7113,1649
gene-LOC119870718|LOC119870718,0,0,4,0,5,0,11,10
gene-ZNF532|ZNF532,34,69,489,370,575,285,628,251
gene-SEC11C|SEC11C,2575,1944,2648,2469,3814,5345,9416,2183
gene-LOC100684262|LOC100684262,0,0,0,0,0,0,4,0
gene-MALT1|MALT1,245,193,405,261,444,323,1846,364
gene-MIR122|MIR122,5,2,4,14,25,34,40,20
rna-NR_049246.1|MIR122,1,1,1,1,1,1,1,1
gene-NEDD4L|NEDD4L,1103,1025,984,1836,1814,2919,4696,1377
gene-LOC119870720|LOC119870720,0,0,0,0,0,0,0,0
gene-LOC119870721|LOC119870721,0,0,0,0,0,0,0,0
gene-LOC111095132|LOC111095132,0,0,5,6,17,0,0,6
gene-ATP8B1|ATP8B1,1807,3136,2093,3241,3419,3559,11846,2854
gene-NARS1|NARS1,1512,4608,2965,4765,3025,4679,14964,3626
gene-FECH|FECH,455,438,504,1230,416,709,2301,451
gene-ONECUT2|ONECUT2,2583,3692,4959,3124,4342,6100,6559,6225
gene-LOC119870722|LOC119870722,56,110,216,175,176,318,260,162
gene-ST8SIA3|ST8SIA3,4,0,38,10,13,17,54,22
gene-WDR7|WDR7,411,1009,832,1158,491,773,2247,877
gene-LOC111095146|LOC111095146,0,0,0,0,0,0,0,0
gene-LOC612779|LOC612779,2,0,0,2,0,1,5,3
gene-LOC102153337|LOC102153337,63,216,33,6,35,0,78,44
gene-LOC119869865|LOC119869865,0,0,0,1,0,0,0,0
gene-TXNL1|TXNL1,3899,3561,3659,4813,5643,6210,18296,5215
gene-CCDC68|CCDC68,83,10,118,83,212,142,632,111
gene-LOC111095166|LOC111095166,0,0,0,0,0,0,0,3
gene-LOC111095182|LOC111095182,8,8,48,13,18,36,38,14
gene-TCF4|TCF4,101,176,127,222,87,64,382,76
gene-C1H18orf54|C1H18orf54,192,133,424,163,484,336,1378,611
gene-RAB27B|RAB27B,461,32,185,544,1564,1321,3305,940
gene-LOC106559491|LOC106559491,110,175,161,73,79,261,283,54
gene-LOC102154410|LOC102154410,59,43,74,67,33,72,167,36
gene-MBD2|MBD2,1065,1980,1268,1779,1505,2377,7727,1208
gene-STARD6|STARD6,184,156,206,280,303,470,525,278
gene-POLI|POLI,119,121,397,221,483,564,1050,418
gene-LOC100683370|LOC100683370,11416,3556,15653,19925,17465,26398,63745,36477
gene-LOC119870724|LOC119870724,0,4,8,13,7,6,28,7
gene-MEX3C|MEX3C,289,493,627,544,812,1015,3019,1062
gene-LOC111095221|LOC111095221,0,0,0,2,0,0,4,0
gene-ME2|ME2,233,429,521,434,211,302,3807,360
gene-SMAD4|SMAD4,680,733,1117,1201,1053,1009,4061,1257
gene-ELAC1|ELAC1,275,412,429,784,745,906,1778,1021
gene-RNMT|RNMT,607,1496,913,1194,826,1610,2858,1225
gene-FAM210A|FAM210A,418,605,769,487,742,597,2717,1498
gene-DCC|DCC,0,0,0,8,10,0,0,0
gene-LOC119869846|LOC119869846,0,0,0,0,0,0,0,0
gene-LOC119869925|LOC119869925,0,0,0,0,0,0,0,0
gene-LOC119869917|LOC119869917,0,0,0,0,0,0,0,0
gene-LOC106558192|LOC106558192,2,7,0,7,2,3,4,0
gene-CCN2|CCN2,332,1773,4948,1812,442,1810,5144,350
gene-LOC102156553|LOC102156553,18,27,14,7,2,7,11,9
gene-LOC111095255|LOC111095255,0,0,0,0,2,0,0,0
gene-LOC119869954|LOC119869954,0,0,0,0,0,0,0,0
gene-LOC100686253|LOC100686253,62,79,116,27,12,85,153,10
gene-LOC111095250|LOC111095250,0,0,0,0,0,0,0,0
gene-LOC476204|LOC476204,31,72,30,24,13,11,25,25
gene-LDLRAD4|LDLRAD4,68,205,271,510,170,412,355,42
gene-LOC119870728|LOC119870728,0,3,8,24,5,50,5,0
gene-LOC100684412|LOC100684412,0,20,11,15,0,0,4,7
gene-LOC491231|LOC491231,5,21,32,11,0,34,28,7
gene-MOXD1|MOXD1,3930,2666,1928,10288,5040,6865,23136,6807
gene-LOC111095249|LOC111095249,13,8,0,33,40,19,3,0
gene-LOC119869889|LOC119869889,2,0,0,0,0,0,0,0
gene-LOC119870730|LOC119870730,187,84,134,275,617,536,2022,731
gene-STX7|STX7,1472,831,2003,1799,2572,2445,8388,2018
gene-LOC119874067|LOC119874067,134,84,270,262,0,369,776,0
gene-VNN3|VNN3,0,0,0,0,4,0,12,0
gene-SLC18B1|SLC18B1,256,65,473,490,432,747,723,528
gene-LOC119869965|LOC119869965,0,0,1,0,0,0,0,0
